**** BEGIN LOGGING AT Thu Nov 11 19:30:53 2010

Nov 11 20:16:26 <emonge>	nop
Nov 11 20:16:31 <emonge>	programando en c#
Nov 11 20:16:32 <emonge>	jajaja
Nov 11 20:16:35 <emonge>	ayudandole a mi novia
Nov 11 20:16:48 <fcodiaz>	emonge, haciendo puntos
Nov 11 20:17:06 <elsimio>	ganandose la cena
Nov 11 20:17:28 <emonge>	ajajaja
Nov 11 20:17:39 <fcodiaz>	y posiblemente desayuno xD
Nov 11 20:17:45 <elsimio>	bueno el otro anio cuando este los 3 meses podria trabajar en eso
Nov 11 20:17:53 <elsimio>	solibiz
Nov 11 20:17:58 <elsimio>	opencont
Nov 11 20:18:15 <fcodiaz>	bueno, ya para entonces deberia haber algo mas concreto y un poco de buen codigo
Nov 11 20:18:30 <fcodiaz>	emonge, si vos comenzaras hoy a programar en solicont, que lenguaje usaras?
Nov 11 20:18:38 <emonge>	fcodiaz, php
Nov 11 20:18:45 <fcodiaz>	elsimio, dice lo mismo
Nov 11 20:19:07 <elsimio>	ademas q lo estamos pensando como para empresas
Nov 11 20:19:13 <fcodiaz>	ok
Nov 11 20:19:16 <elsimio>	es facil configurar java pero mas facil php
Nov 11 20:19:37 <fcodiaz>	el proyecto va a ser para web verdad?
Nov 11 20:19:57 <fcodiaz>	como dice elsimio, es necesario crear la base del sistema, el core
Nov 11 20:20:03 <fcodiaz>	para que luego todo lo demas sea modular
Nov 11 20:20:25 <emonge>	cierto
Nov 11 20:20:26 <elsimio>	si
Nov 11 20:22:13 <fcodiaz>	ok entonces jovenes
Nov 11 20:22:18 <fcodiaz>	esta reunion, desierta
Nov 11 20:22:23 <fcodiaz>	podemos concluir algo?
Nov 11 20:22:25 <elsimio>	igual q las licitaciones
Nov 11 20:22:31 <fcodiaz>	emonge, con lo del diseno de la DB?
Nov 11 20:22:38 <elsimio>	hay q meter eso del doc al wiki
Nov 11 20:22:46 <fcodiaz>	yo paso eso elsimio 
Nov 11 20:22:53 <elsimio>	chevere
Nov 11 20:23:05 <elsimio>	luego vere si pongo en el doc eso de modular, etc
Nov 11 20:23:07 <elsimio>	el core
Nov 11 20:23:07 <fcodiaz>	elsimio, crees que podrias trabajar en pantallas de como deberia verse?
Nov 11 20:23:31 <emonge>	fcodiaz, entiendo que por el momento no se iba a modificar lo diseñado por cmsamour
Nov 11 20:23:32 <fcodiaz>	o yo puedo trabajar en las pantallas para el prototipo
Nov 11 20:23:38 <elsimio>	en pantallas no creo, en lo de los modulos, ec si
Nov 11 20:23:50 <fcodiaz>	si, solo queria confirmar contigo que no habia nada mas que agregar ahi
Nov 11 20:24:15 <elsimio>	ok
Nov 11 20:24:17 <fcodiaz>	solo como le decia a elsimio emparejar lo que se ha puesto en las caracteristicas y ver si no hace falta nada en la DB
Nov 11 20:24:33 <fcodiaz>	entonces elsimio tu puedes trabajar en el core
Nov 11 20:24:36 <elsimio>	si
Nov 11 20:24:38 <emonge>	de igual forma, se puede iniciar asi
Nov 11 20:24:41 <fcodiaz>	y como este se enlazaria con los modulos
Nov 11 20:24:44 <elsimio>	pero no con esa base q esta ahi
Nov 11 20:24:48 <emonge>	por que?
