**** BEGIN LOGGING AT Tue Nov 23 19:56:21 2010

Nov 23 20:17:55 *	fcodiaz ve a elsimio perdido en el tiempo y el espacio
Nov 23 20:18:20 <jotamjr>	@_@
Nov 23 20:18:39 <fcodiaz>	asi que para cuando decidimos?
Nov 23 20:18:43 <elsimio>	el q cosa
Nov 23 20:18:48 <fcodiaz>	una vez que hayamos leido los documentos
Nov 23 20:18:53 <fcodiaz>	elsimio, sobre el lenguaje
Nov 23 20:19:03 <fcodiaz>	ya tenemos docs para php, perl, python y ruby
Nov 23 20:19:06 <elsimio>	ya tenemos la base?
Nov 23 20:19:09 <fcodiaz>	ya
Nov 23 20:19:15 <fcodiaz>	postgresql
Nov 23 20:19:27 <fcodiaz>	https://github.com/fcodiaz/Solicont/wiki/Noviembre-18-2010
Nov 23 20:19:30 <elsimio>	digo
Nov 23 20:19:36 <fcodiaz>	minuta reunion pasada ^^^^^^^^^
Nov 23 20:19:41 <elsimio>	el ER
Nov 23 20:19:45 <elsimio>	una base talegona
Nov 23 20:19:56 <jotamjr>	es un punto de la agenda elsimio
Nov 23 20:20:01 <elsimio>	q cuando estemos ya programando no digamos "puta esto salia mas facil haberlo hecho con aquel lenguaje"
Nov 23 20:20:07 <jotamjr>	"talegona" no creo
Nov 23 20:20:08 <fcodiaz>	asi es
Nov 23 20:20:30 <fcodiaz>	una vez seleccionamos, nos metemos en el huevo todos
Nov 23 20:20:47 <fcodiaz>	y aceptamos que fue consenso o el metodo que usamos para seleccionar
Nov 23 20:21:24 <fcodiaz>	estamos jovenes
Nov 23 20:21:34 <fcodiaz>	asi que para cuando decidimos lo del lenguaje
Nov 23 20:21:41 <fcodiaz>	cuanto tiempo para leer los documentos que tenemos
Nov 23 20:21:44 <fcodiaz>	y decidimos
Nov 23 20:22:00 <elsimio>	hay q leerlos
Nov 23 20:22:01 <elsimio>	todos
Nov 23 20:22:07 <elsimio>	luego hacer un balance
Nov 23 20:22:11 <fcodiaz>	para formarnos un criterio si
Nov 23 20:22:20 *	darkness51 (~quassel@190.150.21.117) has joined #solicont
Nov 23 20:22:29 <elsimio>	X cantidad de programadores Y lenguaje
Nov 23 20:23:05 <fcodiaz>	votacion?
Nov 23 20:23:08 <fcodiaz>	por votacion?
Nov 23 20:23:23 <elsimio>	por mi si pero no hoy
Nov 23 20:23:27 <fcodiaz>	asi es
Nov 23 20:23:29 <fcodiaz>	no ahora
Nov 23 20:23:34 <elsimio>	yo preferiria base primero, luego lenguaje
Nov 23 20:23:46 <elsimio>	no podemos pensar en una pantalla si primero no hemos pensado en los procesos
Nov 23 20:23:57 <fcodiaz>	yo creo que cualquiera de los lenguajes que tenemos es capaz de soportar postgreSQL
Nov 23 20:24:10 <fcodiaz>	la base ya la tenemos
Nov 23 20:24:20 <fcodiaz>	y eso es un factor importante
Nov 23 20:24:48 <fcodiaz>	asi que para cuando votamos, proxima reunion?
Nov 23 20:25:01 <fcodiaz>	asi tenemos una semana para leer los documentos
Nov 23 20:25:08 <jotamjr>	podría ser
Nov 23 20:25:09 <fcodiaz>	y formarnos un criterio
Nov 23 20:25:15 <fcodiaz>	elsimio, te parece?
Nov 23 20:25:15 <CiskoSV>	me parece
Nov 23 20:25:27 <jotamjr>	en eso damos chance a los que faltan aún
Nov 23 20:25:29 <elsimio>	si
Nov 23 20:25:31 <fcodiaz>	ok
Nov 23 20:25:43 <fcodiaz>	entonces es tarea de todos leer los documentos existentes
Nov 23 20:25:50 <fcodiaz>	elsimio, tu aun no tienes cuenta en github
Nov 23 20:25:54 <fcodiaz>	CiskoSV, tu tienes?
Nov 23 20:25:57 <elsimio>	no
Nov 23 20:26:13 <CiskoSV>	tampoco
Nov 23 20:26:46 <fcodiaz>	lo mas facil es que creen una cuenta en el github y les doy acceso como colaboradores
Nov 23 20:27:00 *	CiskoSV creandola
Nov 23 20:27:00 <fcodiaz>	sino me avisan para mandarles por correo los documentos
Nov 23 20:27:02 <elsimio>	:-/
Nov 23 20:27:10 <fcodiaz>	ok estamos entonces con el punto 1
Nov 23 20:27:23 <fcodiaz>	todos leermos los documentos para formarnos un criterio
Nov 23 20:27:32 <jotamjr>	commit
Nov 23 20:27:34 <fcodiaz>	y la votacion es el proximo martes o jueves?
Nov 23 20:27:38 <elsimio>	jueves
Nov 23 20:27:49 <fcodiaz>	ok proximo jueves, 2?
Nov 23 20:27:56 <fcodiaz>	si
Nov 23 20:27:59 <fcodiaz>	2 de diciembre
Nov 23 20:28:06 <elsimio>	si dios lo permite
